Date,Close,High,Low,Open,Volume
2024-11-04,2664.97265625,2753.156982421875,2646.03466796875,2745.12548828125,122229160
2024-11-11,2579.77099609375,2666.90234375,2549.63623046875,2664.97265625,146270318
2024-11-18,2732.019775390625,2742.81982421875,2579.187255859375,2579.77099609375,118486432
2024-11-25,2655.36669921875,2732.689697265625,2626.837890625,2732.019775390625,96941037
2024-12-02,2626.6787109375,2656.27294921875,2617.956298828125,2655.36669921875,124702689
2024-12-09,2656.512451171875,2711.072998046875,2626.547607421875,2631.608154296875,151308083
2024-12-16,2621.4501953125,2668.290283203125,2599.9658203125,2656.512451171875,117900770
2024-12-23,2645.277587890625,2653.2685546875,2609.972412109375,2621.4501953125,72638047
2024-12-30,2645.312744140625,2659.088623046875,2615.555908203125,2645.248779296875,77154500
2025-01-06,2697.377197265625,2705.225341796875,2639.58251953125,2645.312744140625,116529657
2025-01-13,2678.25048828125,2722.200439453125,2659.854736328125,2697.377197265625,145557051
2025-01-20,2758.6142578125,2773.3095703125,2676.609130859375,2678.25048828125,144147129
2025-01-27,2819.992431640625,2933.337890625,2731.054931640625,2758.453857421875,213792257
2025-02-03,2900.8505859375,2924.39306640625,2775.826416015625,2819.993896484375,281012075
2025-02-10,2901.78564453125,2956.328369140625,2894.274658203125,2900.8505859375,202210888
2025-02-17,2962.921142578125,2968.8671875,2901.21728515625,2901.78564453125,171871346
2025-02-24,2872.70263671875,2995.641845703125,2834.37353515625,2962.921142578125,276384700
2025-03-03,2932.91162109375,2944.29443359375,2863.03271484375,2872.720703125,206791138
2025-03-10,3001.404296875,3028.61181640625,2882.18603515625,2932.91162109375,226071904
2025-03-17,3053.006103515625,3110.08203125,2994.10986328125,3001.3935546875,333918398
2025-03-24,3109.063232421875,3141.6376953125,3008.522705078125,3053.131103515625,452663274
2025-03-31,2999.47412109375,3192.056884765625,2991.297119140625,3109.01318359375,610939301
2025-04-07,3245.317138671875,3296.268798828125,2990.072265625,2999.47412109375,692340483
2025-04-14,3369.112060546875,3382.706787109375,3212.87548828125,3245.33837890625,406722926
2025-04-21,3308.329345703125,3520.34521484375,3274.15478515625,3369.112060546875,774867305
2025-04-28,3262.97705078125,3354.81494140625,3220.96875,3308.329345703125,370238256
2025-05-05,3293.284423828125,3453.528564453125,3260.736083984375,3262.800537109375,488311668
2025-05-12,3248.93408203125,3295.341796875,3146.50341796875,3293.232177734375,431234001
2025-05-19,3347.9150390625,3379.848876953125,3221.489501953125,3248.294677734375,371045724
2025-05-26,3321.167724609375,3362.054443359375,3265.60107421875,3347.923828125,259788417
2025-06-02,3341.7216796875,3419.04736328125,3314.177978515625,3321.16845703125,289985441
2025-06-09,3478.812744140625,3496.645751953125,3321.42041015625,3341.7216796875,577290891
2025-06-16,3405.67236328125,3483.946533203125,3364.264892578125,3478.812744140625,759166380
2025-06-23,3279.677734375,3413.211669921875,3268.04638671875,3405.340087890625,857617857
2025-06-30,3334.82666015625,3365.677001953125,3276.932861328125,3279.677734375,324452821
2025-07-07,3355.9931640625,3362.080810546875,3294.10693359375,3334.82666015625,434843213
2025-07-14,3352.7177734375,3371.6728515625,3323.059814453125,3355.9931640625,585258489
2025-07-21,3346.609130859375,3433.67041015625,3338.378662109375,3352.7177734375,463659082
2025-07-28,3364.5673828125,3370.89599609375,3284.232177734375,3346.609130859375,611932818
2025-08-04,3384.865478515625,3395.737548828125,3350.56103515625,3364.556640625,476118231
2025-08-11,3326.129150390625,3384.911865234375,3325.0810546875,3384.865478515625,480701032
2025-08-18,3359.708740234375,3364.621337890625,3304.727294921875,3326.129150390625,364506273
2025-08-25,3462.173828125,3469.432373046875,3338.1396484375,3359.78466796875,610496908
2025-09-01,3603.125,3627.7890625,3453.283447265625,3462.03271484375,921254948
2025-09-08,3645.18603515625,3676.3935546875,3588.98291015625,3603.125,688742406
2025-09-15,3693.28857421875,3712.321044921875,3637.9560546875,3645.18603515625,689426254
2025-09-22,3778.170654296875,3801.018310546875,3692.9736328125,3693.28857421875,965851747
2025-09-29,3915.343017578125,3920.166259765625,3775.92529296875,3778.170654296875,1116023758
2025-10-06,4041.53369140625,4075.859375,3727.296142578125,3915.343017578125,2033590157
2025-10-13,4245.95068359375,4456.70458984375,4032.360107421875,4041.551025390625,3217402587
2025-10-20,4060.7724609375,4391.0146484375,4027.8212890625,4245.95068359375,2808249063
2025-10-27,3978.682373046875,4091.43310546875,3900.295654296875,4060.8505859375,2058684196
2025-11-03,4002.193115234375,4022.40283203125,3918.82861328125,3978.682373046875,1077695997
2025-11-10,4090.231201171875,4234.55810546875,4002.2373046875,4002.2373046875,1328825164
2025-11-17,4064.7265625,4120.90087890625,3994.989990234375,4090.2294921875,1568465655
2025-11-24,4240.22265625,4256.05810546875,4034.6083984375,4064.77880859375,1091652809
2025-12-01,4214.52880859375,4280.53076171875,4173.24853515625,4240.17041015625,1150883361
2025-12-08,4319.2890625,4361.49951171875,4185.6904296875,4214.53564453125,786053705
2025-12-15,4364.52685546875,4381.27978515625,4286.740234375,4319.20849609375,844102631
2025-12-22,4548.640625,4573.501953125,4364.52685546875,4364.52685546875,1248428843
2025-12-29,4383.18310546875,4548.603515625,4299.396484375,4548.603515625,1487557392
2026-01-05,4538.0986328125,4540.67041015625,4381.34375,4383.18017578125,1276990491
2026-01-12,4686.02978515625,4695.224609375,4537.42431640625,4538.0986328125,1192881100
2026-01-19,5063.904296875,5114.90185546875,4669.32568359375,4686.06640625,2753141820
2026-01-26,4760.32666015625,5622.8056640625,4732.8681640625,5063.76513671875,16030575260
2026-02-02,5042.5322265625,5109.70849609375,4480.91552734375,4760.39501953125,5231129119
2026-02-09,5022.30224609375,5126.42822265625,4904.0029296875,5042.47900390625,1984470049
2026-02-16,5187.380859375,5187.3828125,4862.27294921875,5022.30224609375,1704482555
2026-02-23,5435.98974609375,5570.89990234375,5123.6923828125,5187.35009765625,3911730513
2026-03-02,5082.99365234375,5456.1669921875,5037.482421875,5436.48291015625,3822424724
2026-03-09,5104.392578125,5141.79150390625,5051.48876953125,5083.1123046875,494118592
